postcode,In Use?,latitude,longitude,easting,northing,grid ref,county,district,ward,district code,ward code,country,county code,constituency,introduced,terminated,parish,national park,population,households,built up area,built up sub-division,lower layer super output area,rural/urban,region,altitude,london zone,LSOA code,local authority,MSOA code,middle layer super output area,parish code,census output area,constituency code,index of Multiple Deprivation,quality,user type,last updated
WC1A 1AB,Yes,51.516386,-0.125165,530186,181384,TQ301813,"Greater London","Camden","Holborn and Covent Garden",E09000007,E05000138,England,E11000009,"Holborn and St Pancras",2007-05-01,,"Camden, unparished area","",10,5,"Greater London","Camden","Camden 028D","Urban major conurbation",London,36,1,E01000919,,E02000193,"Camden 028",E43000197,E00004522,E14000750,9904,1,0,2018-08-21
WC1A 1AD,Yes,51.517343,-0.124178,530252,181492,TQ302814,"Greater London","Camden","Holborn and Covent Garden",E09000007,E05000138,England,E11000009,"Holborn and St Pancras",2017-11-01,,"Camden, unparished area","",,,"Greater London","Camden","Camden 028C","Urban major conurbation",London,33,1,E01000918,,E02000193,"Camden 028",E43000197,E00004560,E14000750,9145,1,0,2018-08-21
WC1A 1AP,Yes,51.517361,-0.125413,530166,181492,TQ301814,"Greater London","Camden","Holborn and Covent Garden",E09000007,E05000138,England,E11000009,"Holborn and St Pancras",1986-04-01,,"Camden, unparished area","",,,"Greater London","Camden","Camden 028C","Urban major conurbation",London,35,1,E01000918,,E02000193,"Camden 028",E43000197,E00004561,E14000750,9145,1,0,2018-08-21
WC1A 1AW,Yes,51.516987,-0.127331,530034,181447,TQ300814,"Greater London","Camden","Bloomsbury",E09000007,E05000129,England,E11000009,"Holborn and St Pancras",2010-02-01,,"Camden, unparished area","",,,"Greater London","Camden","Camden 028A","Urban major conurbation",London,36,1,E01000855,,E02000193,"Camden 028",E43000197,E00174659,E14000750,16377,1,0,2018-08-21
WC1A 1BA,Yes,51.517019,-0.123586,530294,181457,TQ302814,"Greater London","Camden","Holborn and Covent Garden",E09000007,E05000138,England,E11000009,"Holborn and St Pancras",1980-01-01,,"Camden, unparished area","",,,"Greater London","Camden","Camden 028C","Urban major conurbation",London,38,1,E01000918,,E02000193,"Camden 028",E43000197,E00004560,E14000750,9145,1,0,2018-08-21
WC1A 1BH,Yes,51.51698,-0.125213,530181,181450,TQ301814,"Greater London","Camden","Holborn and Covent Garden",E09000007,E05000138,England,E11000009,"Holborn and St Pancras",1980-01-01,,"Camden, unparished area","",45,18,"Greater London","Camden","Camden 028C","Urban major conurbation",London,35,1,E01000918,,E02000193,"Camden 028",E43000197,E00004561,E14000750,9145,1,0,2018-08-21
WC1A 1BL,Yes,51.516855,-0.126429,530097,181434,TQ300814,"Greater London","Camden","Holborn and Covent Garden",E09000007,E05000138,England,E11000009,"Holborn and St Pancras",1980-01-01,,"Camden, unparished area","",,,"Greater London","Camden","Camden 028D","Urban major conurbation",London,33,1,E01000919,,E02000193,"Camden 028",E43000197,E00004522,E14000750,9904,1,0,2018-08-21
WC1A 1BN,Yes,51.516954,-0.125286,530176,181447,TQ301814,"Greater London","Camden","Holborn and Covent Garden",E09000007,E05000138,England,E11000009,"Holborn and St Pancras",2000-12-01,,"Camden, unparished area","",,,"Greater London","Camden","Camden 028C","Urban major conurbation",London,35,1,E01000918,,E02000193,"Camden 028",E43000197,E00004561,E14000750,9145,1,0,2018-08-21
WC1A 1BS,Yes,51.516677,-0.127099,530051,181413,TQ300814,"Greater London","Camden","Holborn and Covent Garden",E09000007,E05000138,England,E11000009,"Holborn and St Pancras",1980-01-01,,"Camden, unparished area","",,,"Greater London","Camden","Camden 028D","Urban major conurbation",London,35,1,E01000919,,E02000193,"Camden 028",E43000197,E00004522,E14000750,9904,1,0,2018-08-21
WC1A 1DB,Yes,51.516442,-0.12913,529911,181383,TQ299813,"Greater London","Camden","Holborn and Covent Garden",E09000007,E05000138,England,E11000009,"Holborn and St Pancras",2017-12-01,,"Camden, unparished area","",,,"Greater London","Camden","Camden 028D","Urban major conurbation",London,38,1,E01000919,,E02000193,"Camden 028",E43000197,E00004522,E14000750,9904,1,0,2018-08-21
WC1A 1DE,Yes,51.51664,-0.127435,530028,181408,TQ300814,"Greater London","Camden","Holborn and Covent Garden",E09000007,E05000138,England,E11000009,"Holborn and St Pancras",2002-09-01,,"Camden, unparished area","",,,"Greater London","Camden","Camden 028D","Urban major conurbation",London,36,1,E01000919,,E02000193,"Camden 028",E43000197,E00004522,E14000750,9904,1,0,2018-08-21
WC1A 1DG,Yes,51.516448,-0.12838,529963,181385,TQ299813,"Greater London","Camden","Holborn and Covent Garden",E09000007,E05000138,England,E11000009,"Holborn and St Pancras",1980-01-01,,"Camden, unparished area","",1,1,"Greater London","Camden","Camden 028D","Urban major conurbation",London,39,1,E01000919,,E02000193,"Camden 028",E43000197,E00004522,E14000750,9904,1,0,2018-08-21
WC1A 1EP,Yes,51.517312,-0.125732,530144,181486,TQ301814,"Greater London","Camden","Holborn and Covent Garden",E09000007,E05000138,England,E11000009,"Holborn and St Pancras",1980-01-01,,"Camden, unparished area","",17,6,"Greater London","Camden","Camden 028C","Urban major conurbation",London,34,1,E01000918,,E02000193,"Camden 028",E43000197,E00004561,E14000750,9145,1,0,2018-08-21
WC1A 1ES,Yes,51.517167,-0.126214,530111,181469,TQ301814,"Greater London","Camden","Holborn and Covent Garden",E09000007,E05000138,England,E11000009,"Holborn and St Pancras",1980-01-01,,"Camden, unparished area","",22,10,"Greater London","Camden","Camden 028C","Urban major conurbation",London,33,1,E01000918,,E02000193,"Camden 028",E43000197,E00004561,E14000750,9145,1,0,2018-08-21
WC1A 1EU,Yes,51.516987,-0.127331,530034,181447,TQ300814,"Greater London","Camden","Bloomsbury",E09000007,E05000129,England,E11000009,"Holborn and St Pancras",1980-01-01,,"Camden, unparished area","",,,"Greater London","Camden","Camden 028A","Urban major conurbation",London,37,1,E01000855,,E02000193,"Camden 028",E43000197,E00174659,E14000750,16377,1,0,2018-08-21
WC1A 1HB,Yes,51.516922,-0.128216,529973,181438,TQ299814,"Greater London","Camden","Bloomsbury",E09000007,E05000129,England,E11000009,"Holborn and St Pancras",1980-01-01,,"Camden, unparished area","",,,"Greater London","Camden","Camden 028A","Urban major conurbation",London,40,1,E01000855,,E02000193,"Camden 028",E43000197,E00174659,E14000750,16377,1,0,2018-08-21
WC1A 1HD,Yes,51.516729,-0.129201,529905,181415,TQ299814,"Greater London","Camden","Bloomsbury",E09000007,E05000129,England,E11000009,"Holborn and St Pancras",2000-12-01,,"Camden, unparished area","",1,1,"Greater London","Camden","Camden 028A","Urban major conurbation",London,39,1,E01000855,,E02000193,"Camden 028",E43000197,E00174659,E14000750,16377,1,0,2018-08-21
